open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
349.63,354.39,347.33,352.8,23624000.0,353.0258730782,345.9930486081,351.4355,348.2841953901,23637673.0,1.0,0.0,MSFT,XNAS,"November 03, 2023 12:00 AM"
428.76,434.815,425.53,432.36,3667051.0,434.815,425.53,432.36,428.76,3667051.0,1.0,0.0,NFLX,XNAS,"November 03, 2023 12:00 AM"
174.24,176.82,173.35,176.65,79763700.0,176.3684896442,172.9073502987,176.1927,173.7950776813,79829246.0,1.0,0.0,AAPL,XNAS,"November 03, 2023 12:00 AM"
138.99,139.49,137.45,138.6,44059809.0,139.49,137.45,138.6,138.99,44059805.0,1.0,0.0,AMZN,XNAS,"November 03, 2023 12:00 AM"
128.02,129.525,127.86,129.1,26393109.0,129.525,127.86,129.1,128.02,26393109.0,1.0,0.0,GOOGL,XNAS,"November 03, 2023 12:00 AM"
175.52,177.78,175.46,177.57,77334800.0,177.3260382815,175.0119624079,177.1104,175.0718091977,77334752.0,1.0,0.0,AAPL,XNAS,"November 02, 2023 12:00 AM"
138.73,138.81,136.47,138.07,52236688.0,138.81,136.47,138.07,138.73,52236693.0,1.0,0.0,AMZN,XNAS,"November 02, 2023 12:00 AM"
128.42,128.98,126.93,127.49,27124650.0,128.98,126.93,127.49,128.42,27124647.0,1.0,0.0,GOOGL,XNAS,"November 02, 2023 12:00 AM"
347.24,348.83,344.77,348.32,24348100.0,347.4872747703,343.4429026247,346.9728,345.9033950384,24348072.0,1.0,0.0,MSFT,XNAS,"November 02, 2023 12:00 AM"
421.17,426.69,417.1,424.71,4475984.0,426.69,417.1,424.71,421.17,4475984.0,1.0,0.0,NFLX,XNAS,"November 02, 2023 12:00 AM"
339.79,347.42,339.65,346.07,28158800.0,346.0827021779,338.3426106577,344.7315,338.4820717662,28158819.0,1.0,0.0,MSFT,XNAS,"November 01, 2023 12:00 AM"
414.77,420.6,414.1798,420.19,4806108.0,420.6,414.1798,420.19,414.77,4806108.0,1.0,0.0,NFLX,XNAS,"November 01, 2023 12:00 AM"
171.0,174.23,170.12,173.97,56934900.0,173.7851032163,169.6855981126,173.5197,170.5633510302,56934906.0,1.0,0.0,AAPL,XNAS,"November 01, 2023 12:00 AM"
133.96,137.35,133.71,137.0,61529406.0,137.35,133.71,137.0,133.96,61529409.0,1.0,0.0,AMZN,XNAS,"November 01, 2023 12:00 AM"
124.07,126.49,123.715,126.45,30082439.0,126.49,123.715,126.45,124.07,30082438.0,1.0,0.0,GOOGL,XNAS,"November 01, 2023 12:00 AM"
169.35,170.9,167.9,170.77,44846000.0,170.4636063804,167.4712668887,170.328,168.9175643097,44846017.0,1.0,0.0,AAPL,XNAS,"October 31, 2023 12:00 AM"
132.75,133.57,131.71,133.09,51589379.0,133.57,131.71,133.09,132.75,51589380.0,1.0,0.0,AMZN,XNAS,"October 31, 2023 12:00 AM"
125.06,125.37,122.685,124.08,26292340.0,125.37,122.685,124.08,125.06,26292342.0,1.0,0.0,GOOGL,XNAS,"October 31, 2023 12:00 AM"
338.85,339.0,334.69,338.11,20265300.0,337.6951126541,333.4017028148,336.8023,337.5456900379,20265282.0,1.0,0.0,MSFT,XNAS,"October 31, 2023 12:00 AM"
409.24,412.52,404.6301,411.69,3877623.0,412.52,404.6301,411.69,409.24,3877623.0,1.0,0.0,NFLX,XNAS,"October 31, 2023 12:00 AM"
333.41,339.45,331.83,337.31,22828100.0,338.1433805028,330.5527115989,336.0054,332.126629823,22828082.0,1.0,0.0,MSFT,XNAS,"October 30, 2023 12:00 AM"
402.35,412.82,399.41,410.08,5317147.0,412.82,399.41,410.08,402.35,5317147.0,1.0,0.0,NFLX,XNAS,"October 30, 2023 12:00 AM"
169.02,171.17,168.87,170.29,51131000.0,170.7329169347,168.438789991,169.8492,168.5884069656,51130955.0,1.0,0.0,AAPL,XNAS,"October 30, 2023 12:00 AM"
129.72,133.0,128.56,132.71,72485539.0,133.0,128.56,132.71,129.72,72485542.0,1.0,0.0,AMZN,XNAS,"October 30, 2023 12:00 AM"
123.21,125.4,122.75,124.46,28940080.0,125.4,122.75,124.46,123.21,28940081.0,1.0,0.0,GOOGL,XNAS,"October 30, 2023 12:00 AM"
166.91,168.96,166.83,168.22,58499100.0,168.5285601758,166.4039991366,167.7846,166.4837948564,58499129.0,1.0,0.0,AAPL,XNAS,"October 27, 2023 12:00 AM"
126.2,130.02,125.52,127.74,125309297.0,130.02,125.52,127.74,126.2,125309313.0,1.0,0.0,AMZN,XNAS,"October 27, 2023 12:00 AM"
122.88,123.31,120.2057,122.17,44566512.0,123.31,120.2057,122.17,122.88,44566506.0,1.0,0.0,GOOGL,XNAS,"October 27, 2023 12:00 AM"
330.43,336.72,328.4,329.81,29856500.0,335.4238888876,327.1366117469,328.5344,329.1531197603,29856522.0,1.0,0.0,MSFT,XNAS,"October 27, 2023 12:00 AM"
406.42,410.21,395.62,397.87,4997612.0,410.21,395.62,397.87,406.42,4997612.0,1.0,0.0,NFLX,XNAS,"October 27, 2023 12:00 AM"
340.54,341.63,326.94,327.89,37828500.0,340.3149891918,325.6815343101,326.6218,339.2291848473,37828543.0,1.0,0.0,MSFT,XNAS,"October 26, 2023 12:00 AM"
411.42,417.31,401.5444,403.54,6849702.0,417.31,401.5444,403.54,411.42,6849702.0,1.0,0.0,NFLX,XNAS,"October 26, 2023 12:00 AM"
170.37,171.38,165.67,166.89,70625300.0,170.9398870829,165.2469611998,166.458,169.9349597369,70625258.0,1.0,0.0,AAPL,XNAS,"October 26, 2023 12:00 AM"
120.63,121.6393,118.35,119.57,100419508.0,121.6393,118.35,119.57,120.63,100419516.0,1.0,0.0,AMZN,XNAS,"October 26, 2023 12:00 AM"
123.27,124.3297,121.27,122.28,57061141.0,124.3297,121.27,122.28,123.27,57061140.0,1.0,0.0,GOOGL,XNAS,"October 26, 2023 12:00 AM"
171.88,173.06,170.65,171.1,57157000.0,172.6180908145,170.2142447561,170.6571,171.4411039477,57156962.0,1.0,0.0,AAPL,XNAS,"October 25, 2023 12:00 AM"
126.04,126.34,120.79,121.39,74577539.0,126.34,120.79,121.39,126.04,74577544.0,1.0,0.0,AMZN,XNAS,"October 25, 2023 12:00 AM"
128.16,128.31,125.07,125.61,84366211.0,128.31,125.07,125.61,128.16,84366208.0,1.0,0.0,GOOGL,XNAS,"October 25, 2023 12:00 AM"
345.02,346.2,337.62,340.67,55053800.0,344.8673982326,336.3204245849,339.3524,343.6919403184,55053828.0,1.0,0.0,MSFT,XNAS,"October 25, 2023 12:00 AM"
416.02,418.84,410.11,411.25,6299587.0,418.84,410.11,411.25,416.02,6299587.0,1.0,0.0,NFLX,XNAS,"October 25, 2023 12:00 AM"
331.3,331.84,327.6,330.53,31153600.0,330.5626731066,326.3389938215,329.2516,330.0247516882,31153571.0,1.0,0.0,MSFT,XNAS,"October 24, 2023 12:00 AM"
409.68,416.6899,408.39,413.73,6459247.0,416.6899,408.39,413.73,409.68,6459247.0,1.0,0.0,NFLX,XNAS,"October 24, 2023 12:00 AM"
173.05,173.67,171.45,173.44,43816600.0,173.2265331778,171.0122019539,172.9911,172.6081163495,43816644.0,1.0,0.0,AAPL,XNAS,"October 24, 2023 12:00 AM"
127.74,128.8,126.34,128.56,46477359.0,128.8,126.34,128.56,127.74,46477355.0,1.0,0.0,AMZN,XNAS,"October 24, 2023 12:00 AM"
137.83,139.3599,137.42,138.81,44814320.0,139.3599,137.42,138.81,137.83,44814321.0,1.0,0.0,GOOGL,XNAS,"October 24, 2023 12:00 AM"
170.91,174.01,169.93,173.0,55980100.0,173.5656649869,169.4960832781,172.5522,170.4735808454,55980109.0,1.0,0.0,AAPL,XNAS,"October 23, 2023 12:00 AM"
124.63,127.88,123.98,126.56,48259953.0,127.88,123.98,126.56,124.63,48259953.0,1.0,0.0,AMZN,XNAS,"October 23, 2023 12:00 AM"
135.04,137.6599,133.95,136.5,26317930.0,137.6599,133.95,136.5,135.04,26317930.0,1.0,0.0,GOOGL,XNAS,"October 23, 2023 12:00 AM"
325.47,332.73,324.39,329.32,24374700.0,331.4442665423,323.1413498344,328.0463,324.2171926712,24374748.0,1.0,0.0,MSFT,XNAS,"October 23, 2023 12:00 AM"
403.32,407.54,398.5201,406.84,7390032.0,407.54,398.5201,406.84,403.32,7390032.0,1.0,0.0,NFLX,XNAS,"October 23, 2023 12:00 AM"
331.72,331.92,325.45,326.67,25012600.0,330.6423651686,324.1972696557,325.4066,330.4431350136,25027715.0,1.0,0.0,MSFT,XNAS,"October 20, 2023 12:00 AM"
405.63,410.64,398.01,400.96,12782920.0,410.64,398.01,400.96,405.63,12782922.0,1.0,0.0,NFLX,XNAS,"October 20, 2023 12:00 AM"
175.31,175.42,172.64,172.88,64189300.0,174.972064548,172.1991632857,172.4325,174.8623454333,64244028.0,1.0,0.0,AAPL,XNAS,"October 20, 2023 12:00 AM"
128.05,128.17,124.97,125.17,56406406.0,128.17,124.97,125.17,128.05,56406410.0,1.0,0.0,AMZN,XNAS,"October 20, 2023 12:00 AM"
137.33,137.87,135.08,135.6,26335670.0,137.87,135.08,135.6,137.33,26335673.0,1.0,0.0,GOOGL,XNAS,"October 20, 2023 12:00 AM"
176.04,177.84,175.19,175.46,59302900.0,177.3858850714,174.7426518536,175.0058,175.5904813763,59302863.0,1.0,0.0,AAPL,XNAS,"October 19, 2023 12:00 AM"
130.565,132.24,127.47,128.4,60961359.0,132.24,127.47,128.4,130.565,60961355.0,1.0,0.0,AMZN,XNAS,"October 19, 2023 12:00 AM"
138.5,139.66,137.38,137.75,26066010.0,139.66,137.38,137.75,138.5,26066011.0,1.0,0.0,GOOGL,XNAS,"October 19, 2023 12:00 AM"
332.15,336.88,330.91,331.32,25052100.0,335.5832730116,329.6362528861,330.0386,330.8714798468,25052071.0,1.0,0.0,MSFT,XNAS,"October 19, 2023 12:00 AM"
404.74,408.95,392.2601,401.77,28074420.0,408.95,392.2601,401.77,404.74,28074416.0,1.0,0.0,NFLX,XNAS,"October 19, 2023 12:00 AM"
332.49,335.59,328.3,330.11,23153600.0,334.2982385121,327.0362993639,328.8333,331.2101711102,23153602.0,1.0,0.0,MSFT,XNAS,"October 18, 2023 12:00 AM"
351.0,354.79,344.73,346.19,11429640.0,354.79,344.73,346.19,351.0,11429643.0,1.0,0.0,NFLX,XNAS,"October 18, 2023 12:00 AM"
175.58,177.58,175.11,175.84,54764400.0,177.1215617496,174.6628561339,175.3848,175.1316559876,54764375.0,1.0,0.0,AAPL,XNAS,"October 18, 2023 12:00 AM"
129.9,130.6699,127.51,128.13,42699480.0,130.6699,127.51,128.13,129.9,42699479.0,1.0,0.0,AMZN,XNAS,"October 18, 2023 12:00 AM"
139.445,140.72,137.38,137.96,23375000.0,140.72,137.38,137.96,139.445,23374998.0,1.0,0.0,GOOGL,XNAS,"October 18, 2023 12:00 AM"
176.65,178.42,174.8,177.15,57549400.0,177.9644040398,174.3536477197,176.6915,176.1939365071,57549350.0,1.0,0.0,AAPL,XNAS,"October 17, 2023 12:00 AM"
130.39,132.58,128.71,131.47,49344551.0,132.58,128.71,131.47,130.39,49344550.0,1.0,0.0,AMZN,XNAS,"October 17, 2023 12:00 AM"
138.63,139.9,137.18,139.72,23515779.0,139.9,137.18,139.72,138.63,23515780.0,1.0,0.0,GOOGL,XNAS,"October 17, 2023 12:00 AM"
329.59,333.46,327.41,332.06,18338500.0,332.1764373618,326.1497251743,330.7757,328.3213338633,18338523.0,1.0,0.0,MSFT,XNAS,"October 17, 2023 12:00 AM"
361.1,362.7049,353.89,355.72,5908412.0,362.7049,353.89,355.72,361.1,5908412.0,1.0,0.0,NFLX,XNAS,"October 17, 2023 12:00 AM"
331.05,336.14,330.6,332.64,22158000.0,334.8461214382,329.3274461459,331.3535,329.7757139945,22158048.0,1.0,0.0,MSFT,XNAS,"October 16, 2023 12:00 AM"
356.21,363.0799,354.77,360.82,5128947.0,363.0799,354.77,360.82,356.21,5128947.0,1.0,0.0,NFLX,XNAS,"October 16, 2023 12:00 AM"
176.75,179.08,176.51,178.72,52517000.0,178.6177314955,176.05928123,178.2574,176.2986683894,52516984.0,1.0,0.0,AAPL,XNAS,"October 16, 2023 12:00 AM"
130.69,133.07,130.425,132.55,42832922.0,133.07,130.425,132.55,130.69,42832918.0,1.0,0.0,AMZN,XNAS,"October 16, 2023 12:00 AM"
138.17,139.63,137.99,139.095,28501869.0,139.63,137.99,139.095,138.17,28501871.0,1.0,0.0,GOOGL,XNAS,"October 16, 2023 12:00 AM"
181.42,181.93,178.14,178.85,51427100.0,181.4654412451,177.6851190205,178.3871,180.9567435315,51456082.0,1.0,0.0,AAPL,XNAS,"October 13, 2023 12:00 AM"
132.98,133.3145,128.95,129.79,45824688.0,133.3145,128.95,129.79,132.98,45824685.0,1.0,0.0,AMZN,XNAS,"October 13, 2023 12:00 AM"
139.38,140.0,136.615,137.36,23435600.0,140.0,136.615,137.36,139.38,23435599.0,1.0,0.0,GOOGL,XNAS,"October 13, 2023 12:00 AM"
332.38,333.83,326.36,327.73,21072400.0,332.5450131484,325.1037668608,326.4625,331.100594525,21085695.0,1.0,0.0,MSFT,XNAS,"October 13, 2023 12:00 AM"
355.64,358.93,352.05,355.68,6316320.0,358.93,352.05,355.68,355.64,6316320.0,1.0,0.0,NFLX,XNAS,"October 13, 2023 12:00 AM"
330.57,333.63,328.72,331.16,19313100.0,332.3456833784,327.4546826893,329.8792,329.2925808688,19313098.0,1.0,0.0,MSFT,XNAS,"October 12, 2023 12:00 AM"
366.48,368.83,359.05,361.2,7376086.0,368.83,359.05,361.2,366.48,7376086.0,1.0,0.0,NFLX,XNAS,"October 12, 2023 12:00 AM"
180.07,182.34,179.04,180.71,56743100.0,181.874394309,178.5828208681,180.2422,179.6101907602,56743119.0,1.0,0.0,AAPL,XNAS,"October 12, 2023 12:00 AM"
132.17,134.48,131.23,132.33,55528578.0,134.48,131.23,132.33,132.17,55528581.0,1.0,0.0,AMZN,XNAS,"October 12, 2023 12:00 AM"
141.05,141.22,138.26,138.97,24765539.0,141.22,138.26,138.97,141.05,24765537.0,1.0,0.0,GOOGL,XNAS,"October 12, 2023 12:00 AM"
178.2,179.85,177.6,179.8,47551100.0,179.3907525308,177.146497912,179.3346,177.7449658104,47551098.0,1.0,0.0,AAPL,XNAS,"October 11, 2023 12:00 AM"
129.74,132.05,129.61,131.83,40741840.0,132.05,129.61,131.83,129.74,40741842.0,1.0,0.0,AMZN,XNAS,"October 11, 2023 12:00 AM"
138.58,141.11,138.58,140.55,25884301.0,141.11,138.58,140.55,138.58,25884303.0,1.0,0.0,GOOGL,XNAS,"October 11, 2023 12:00 AM"
331.21,332.82,329.14,332.42,20063200.0,331.5389008659,327.8730660147,331.1343,329.9350981185,20063246.0,1.0,0.0,MSFT,XNAS,"October 11, 2023 12:00 AM"
372.775,377.81,365.34,365.93,9151395.0,377.81,365.34,365.93,372.775,9151395.0,1.0,0.0,NFLX,XNAS,"October 11, 2023 12:00 AM"
330.96,331.1,327.67,328.39,20557100.0,329.8255215333,326.4087243757,327.1199,329.6860604248,20557094.0,1.0,0.0,MSFT,XNAS,"October 10, 2023 12:00 AM"
385.58,388.7,372.25,373.32,7288939.0,388.7,372.25,373.32,385.58,7288939.0,1.0,0.0,NFLX,XNAS,"October 10, 2023 12:00 AM"
178.1,179.72,177.95,178.39,43698000.0,179.2610844862,177.4956041861,177.9282,177.6452211606,43698019.0,1.0,0.0,AAPL,XNAS,"October 10, 2023 12:00 AM"
